bootstraps,time,original,computed,difference
21602,1.0408039644727999E10,3.8602723662557445,3.859797666302992,1.2297058541834607E-4
21702,1.0456219171349998E10,3.8602723662557445,3.8598197799225855,1.1724207263593093E-4
21802,1.0504383351274992E10,3.8602723662557445,3.8598317497108505,1.14141310013676E-4
21902,1.0552600048150995E10,3.8602723662557445,3.8598494938497354,1.0954470718326467E-4
22002,1.0600783572903992E10,3.8602723662557445,3.8597812690422835,1.272182806980057E-4
22102,1.0648972799171005E10,3.8602723662557445,3.859722769329573,1.4237257737971304E-4
22202,1.0697144940023989E10,3.8602723662557445,3.85973912668657,1.3813521911974013E-4
22302,1.074532898500701E10,3.8602723662557445,3.859669965412605,1.5605138342184786E-4
22402,1.0793545284056004E10,3.8602723662557445,3.8597068514424677,1.4649609136915454E-4
22502,1.0841739213303997E10,3.8602723662557445,3.8596921025519686,1.50316777864764E-4
22602,1.0889878092480013E10,3.8602723662557445,3.8596922062553363,1.5028991360291103E-4
22702,1.0938069241310997E10,3.8602723662557445,3.8596501131138394,1.6119410312715E-4
22802,1.0986303623873005E10,3.8602723662557445,3.859646040272166,1.6224916901028694E-4
22902,1.1034541207053997E10,3.8602723662557445,3.859641034175123,1.635459938371789E-4
23002,1.1082742151620012E10,3.8602723662557445,3.8595454204511155,1.8831464095217783E-4
23102,1.1130955513760986E10,3.8602723662557445,3.8595115402536515,1.9709127489131039E-4
23202,1.1179068476393028E10,3.8602723662557445,3.8595519095574415,1.8663364393684247E-4
23302,1.1227232313899996E10,3.8602723662557445,3.8595774559712215,1.8001586898312312E-4
23402,1.1275443389390997E10,3.8602723662557445,3.8595326375180807,1.9162604797788165E-4
23502,1.1323643600383001E10,3.8602723662557445,3.859510101178663,1.9746406594125986E-4
23602,1.1371856441535995E10,3.8602723662557445,3.859515077116831,1.9617505374313902E-4
23702,1.1420053194033995E10,3.8602723662557445,3.8595127765172923,1.9677102193413614E-4
23802,1.1468262876711002E10,3.8602723662557445,3.8594793840191612,2.0542131781039482E-4
23902,1.1516449536187E10,3.8602723662557445,3.8594874087850024,2.0334250961247816E-4
24002,1.1564645033286993E10,3.8602723662557445,3.859440493479757,2.154958762131599E-4
24102,1.1612763858587006E10,3.8602723662557445,3.8593764902870906,2.3207584430703695E-4
24202,1.1660935274260992E10,3.8602723662557445,3.859339951146773,2.4154127494266524E-4
24302,1.1709110396759977E10,3.8602723662557445,3.8592838151973976,2.56083240910222E-4
24402,1.175736302234501E10,3.8602723662557445,3.859287023952433,2.552520158745213E-4
24502,1.1805572554207014E10,3.8602723662557445,3.8592978480459674,2.524480444167078E-4
24602,1.185371653420301E10,3.8602723662557445,3.8593729027224586,2.3300519961973336E-4
